This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1721004&from=1704418954000
0.03076910972595215
[INFO] Trainer: ngp | 2024-01-05_02-43-07 | cuda:0 | fp16 | cunerf-rhino-fine
[INFO] #parameters: 3737530
[INFO] Loading latest checkpoint ...
[INFO] Latest checkpoint is cunerf-rhino-fine/checkpoints/ngp_ep0003.pth.tar
[INFO] loaded model.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/690000 [00:00<?, ?it/s]
loss=0.1198 (0.0887): :  14% 10000/70000 [00:02<00:08, 6990.35it/s]
loss=0.1198 (0.0887): :  29% 20000/70000 [00:02<00:06, 7192.54it/s]
loss=0.1299 (0.1024): :  29% 20000/70000 [00:04<00:06, 7192.54it/s]
loss=0.1299 (0.1024): :  43% 30000/70000 [00:04<00:05, 7110.51it/s]
loss=0.1755 (0.1207): :  43% 30000/70000 [00:05<00:05, 7110.51it/s]
loss=0.1755 (0.1207): :  57% 40000/70000 [00:05<00:04, 7085.41it/s]
loss=0.1981 (0.1362): :  57% 40000/70000 [00:06<00:04, 7085.41it/s]
loss=0.1981 (0.1362): :  71% 50000/70000 [00:06<00:02, 7185.94it/s]
loss=0.1532 (0.1390): :  71% 50000/70000 [00:08<00:02, 7185.94it/s]
loss=0.1532 (0.1390): :  86% 60000/70000 [00:08<00:01, 7140.08it/s]
loss=0.0336 (0.1240): :  86% 60000/70000 [00:09<00:01, 7140.08it/s]
loss=0.0336 (0.1240): : 100% 70000/70000 [00:09<00:00, 7550.11it/s]
loss=0.0336 (0.1240): : 100% 70000/70000 [00:09<00:00, 7307.07it/s]
++> Evaluate epoch 1 Finished.
[INFO] New best result: None --> 0.12396388234836715
==> Start Training Epoch 2, lr=0.001000 ...

  0% 0/690000 [00:00<?, ?it/s]
loss=0.1159 (0.1159): :   0% 0/690000 [00:01<?, ?it/s]
loss=0.1159 (0.1159): :   1% 10000/690000 [00:01<01:43, 6539.51it/s]
loss=0.1225 (0.1192): :   1% 10000/690000 [00:03<01:43, 6539.51it/s]
loss=0.1225 (0.1192): :   3% 20000/690000 [00:03<01:44, 6435.80it/s]
loss=0.1195 (0.1193): :   3% 20000/690000 [00:04<01:44, 6435.80it/s]
loss=0.1195 (0.1193): :   4% 30000/690000 [00:04<01:43, 6404.14it/s]
loss=0.1208 (0.1197): :   4% 30000/690000 [00:06<01:43, 6404.14it/s]
loss=0.1208 (0.1197): :   6% 40000/690000 [00:06<01:41, 6390.18it/s]
loss=0.1199 (0.1197): :   6% 40000/690000 [00:07<01:41, 6390.18it/s]
loss=0.1199 (0.1197): :   7% 50000/690000 [00:07<01:38, 6467.86it/s]
loss=0.1199 (0.1198): :   7% 50000/690000 [00:09<01:38, 6467.86it/s]
loss=0.1199 (0.1198): :   9% 60000/690000 [00:09<01:38, 6427.60it/s]
loss=0.1166 (0.1193): :   9% 60000/690000 [00:10<01:38, 6427.60it/s]
loss=0.1166 (0.1193): :  10% 70000/690000 [00:10<01:36, 6393.13it/s]
loss=0.1231 (0.1198): :  10% 70000/690000 [00:12<01:36, 6393.13it/s]
loss=0.1231 (0.1198): :  12% 80000/690000 [00:12<01:35, 6384.30it/s]
loss=0.1183 (0.1196): :  12% 80000/690000 [00:14<01:35, 6384.30it/s]
loss=0.1183 (0.1196): :  13% 90000/690000 [00:14<01:33, 6426.44it/s]
loss=0.1178 (0.1194): :  13% 90000/690000 [00:15<01:33, 6426.44it/s]
loss=0.1178 (0.1194): :  14% 100000/690000 [00:15<01:32, 6397.58it/s]
loss=0.1212 (0.1196): :  14% 100000/690000 [00:17<01:32, 6397.58it/s]
loss=0.1212 (0.1196): :  16% 110000/690000 [00:17<01:30, 6379.90it/s]
loss=0.1214 (0.1197): :  16% 110000/690000 [00:18<01:30, 6379.90it/s]
loss=0.1214 (0.1197): :  17% 120000/690000 [00:18<01:28, 6459.82it/s]
loss=0.1176 (0.1196): :  17% 120000/690000 [00:20<01:28, 6459.82it/s]
loss=0.1176 (0.1196): :  19% 130000/690000 [00:20<01:27, 6397.47it/s]
loss=0.1212 (0.1197): :  19% 130000/690000 [00:21<01:27, 6397.47it/s]
loss=0.1212 (0.1197): :  20% 140000/690000 [00:21<01:26, 6369.24it/s]
loss=0.1202 (0.1197): :  20% 140000/690000 [00:23<01:26, 6369.24it/s]
loss=0.1202 (0.1197): :  22% 150000/690000 [00:23<01:24, 6362.12it/s]
loss=0.1159 (0.1195): :  22% 150000/690000 [00:24<01:24, 6362.12it/s]
loss=0.1159 (0.1195): :  23% 160000/690000 [00:24<01:22, 6434.88it/s]
loss=0.1239 (0.1197): :  23% 160000/690000 [00:26<01:22, 6434.88it/s]
loss=0.1239 (0.1197): :  25% 170000/690000 [00:26<01:21, 6398.29it/s]
loss=0.1175 (0.1196): :  25% 170000/690000 [00:28<01:21, 6398.29it/s]
loss=0.1175 (0.1196): :  26% 180000/690000 [00:28<01:20, 6361.40it/s]
loss=0.1184 (0.1196): :  26% 180000/690000 [00:29<01:20, 6361.40it/s]
loss=0.1184 (0.1196): :  28% 190000/690000 [00:29<01:18, 6353.79it/s]
loss=0.1177 (0.1195): :  28% 190000/690000 [00:31<01:18, 6353.79it/s]
loss=0.1177 (0.1195): :  29% 200000/690000 [00:31<01:16, 6432.38it/s]
loss=0.1171 (0.1193): :  29% 200000/690000 [00:32<01:16, 6432.38it/s]
loss=0.1171 (0.1193): :  30% 210000/690000 [00:32<01:14, 6401.79it/s]
loss=0.1256 (0.1196): :  30% 210000/690000 [00:34<01:14, 6401.79it/s]
loss=0.1256 (0.1196): :  32% 220000/690000 [00:34<01:13, 6386.43it/s]
loss=0.1200 (0.1196): :  32% 220000/690000 [00:35<01:13, 6386.43it/s]
loss=0.1200 (0.1196): :  33% 230000/690000 [00:35<01:11, 6449.58it/s]
loss=0.1216 (0.1197): :  33% 230000/690000 [00:37<01:11, 6449.58it/s]
loss=0.1216 (0.1197): :  35% 240000/690000 [00:37<01:10, 6420.74it/s]
loss=0.1192 (0.1197): :  35% 240000/690000 [00:39<01:10, 6420.74it/s]
loss=0.1192 (0.1197): :  36% 250000/690000 [00:39<01:08, 6396.91it/s]
loss=0.1209 (0.1198): :  36% 250000/690000 [00:40<01:08, 6396.91it/s]
loss=0.1209 (0.1198): :  38% 260000/690000 [00:40<01:07, 6371.22it/s]
loss=0.1199 (0.1198): :  38% 260000/690000 [00:42<01:07, 6371.22it/s]
loss=0.1199 (0.1198): :  39% 270000/690000 [00:42<01:05, 6441.99it/s]
loss=0.1196 (0.1198): :  39% 270000/690000 [00:43<01:05, 6441.99it/s]
loss=0.1196 (0.1198): :  41% 280000/690000 [00:43<01:04, 6402.57it/s]
loss=0.1213 (0.1198): :  41% 280000/690000 [00:45<01:04, 6402.57it/s]
loss=0.1213 (0.1198): :  42% 290000/690000 [00:45<01:02, 6392.01it/s]
loss=0.1157 (0.1197): :  42% 290000/690000 [00:46<01:02, 6392.01it/s]
loss=0.1157 (0.1197): :  43% 300000/690000 [00:46<01:00, 6452.81it/s]
loss=0.1207 (0.1197): :  43% 300000/690000 [00:48<01:00, 6452.81it/s]
loss=0.1207 (0.1197): :  45% 310000/690000 [00:48<00:59, 6420.44it/s]
loss=0.1194 (0.1197): :  45% 310000/690000 [00:49<00:59, 6420.44it/s]
loss=0.1194 (0.1197): :  46% 320000/690000 [00:49<00:57, 6390.68it/s]
loss=0.1182 (0.1196): :  46% 320000/690000 [00:51<00:57, 6390.68it/s]
loss=0.1182 (0.1196): :  48% 330000/690000 [00:51<00:55, 6453.37it/s]
loss=0.1167 (0.1196): :  48% 330000/690000 [00:53<00:55, 6453.37it/s]
loss=0.1167 (0.1196): :  49% 340000/690000 [00:53<00:54, 6399.56it/s]
loss=0.1217 (0.1196): :  49% 340000/690000 [00:54<00:54, 6399.56it/s]
loss=0.1217 (0.1196): :  51% 350000/690000 [00:54<00:53, 6377.12it/s]
loss=0.1235 (0.1197): :  51% 350000/690000 [00:56<00:53, 6377.12it/s]
loss=0.1235 (0.1197): :  52% 360000/690000 [00:56<00:51, 6358.94it/s]
loss=0.1204 (0.1197): :  52% 360000/690000 [00:57<00:51, 6358.94it/s]
loss=0.1204 (0.1197): :  54% 370000/690000 [00:57<00:49, 6445.79it/s]
loss=0.1187 (0.1197): :  54% 370000/690000 [00:59<00:49, 6445.79it/s]
loss=0.1187 (0.1197): :  55% 380000/690000 [00:59<00:48, 6418.49it/s]
loss=0.1203 (0.1197): :  55% 380000/690000 [01:00<00:48, 6418.49it/s]
loss=0.1203 (0.1197): :  57% 390000/690000 [01:00<00:46, 6389.02it/s]
loss=0.1207 (0.1198): :  57% 390000/690000 [01:02<00:46, 6389.02it/s]
loss=0.1207 (0.1198): :  58% 400000/690000 [01:02<00:44, 6458.02it/s]
loss=0.1195 (0.1198): :  58% 400000/690000 [01:03<00:44, 6458.02it/s]
