This job can be monitored from: https://scruffy.c3se.chalmers.se/d/alvis-job/alvis-job?var-jobid=1726174&from=1704591827000
[INFO] Trainer: ngp | 2024-01-07_02-44-00 | cuda:0 | fp16 | 
/cephyr/users/amirmaso/Alvis/microct-neural-repr/instant-NGP-cunerf/model/cunerf
-rhino-fine
[INFO] #parameters: 5296186
[INFO] Loading latest checkpoint ...
[WARN] No checkpoint found, model randomly initialized.
==> Start Training Epoch 1, lr=0.001000 ...

  0% 0/2725000 [00:00<?, ?it/s]
loss=0.0059 (0.0768): :  18% 500000/2725000 [02:00<08:46, 4223.33it/s]
loss=0.0059 (0.0768): :  19% 505000/2725000 [02:00<08:41, 4257.57it/s]
loss=0.0052 (0.0761): :  19% 505000/2725000 [02:01<08:41, 4257.57it/s]
loss=0.0052 (0.0761): :  19% 510000/2725000 [02:01<08:38, 4273.57it/s]
loss=0.0054 (0.0754): :  19% 510000/2725000 [02:02<08:38, 4273.57it/s]
loss=0.0054 (0.0754): :  19% 515000/2725000 [02:02<08:37, 4273.58it/s]
loss=0.0050 (0.0747): :  19% 515000/2725000 [02:03<08:37, 4273.58it/s]
loss=0.0050 (0.0747): :  19% 520000/2725000 [02:03<08:45, 4197.31it/s]
loss=0.0052 (0.0740): :  19% 520000/2725000 [02:04<08:45, 4197.31it/s]
loss=0.0052 (0.0740): :  19% 525000/2725000 [02:04<08:40, 4227.36it/s]
loss=0.0052 (0.0734): :  19% 525000/2725000 [02:06<08:40, 4227.36it/s]
loss=0.0052 (0.0734): :  19% 530000/2725000 [02:06<08:35, 4260.91it/s]
loss=0.0056 (0.0727): :  19% 530000/2725000 [02:07<08:35, 4260.91it/s]
loss=0.0056 (0.0727): :  20% 535000/2725000 [02:07<08:39, 4216.78it/s]
loss=0.0056 (0.0721): :  20% 535000/2725000 [02:08<08:39, 4216.78it/s]
loss=0.0056 (0.0721): :  20% 540000/2725000 [02:08<08:36, 4233.32it/s]
loss=0.0045 (0.0715): :  20% 540000/2725000 [02:09<08:36, 4233.32it/s]
loss=0.0045 (0.0715): :  20% 545000/2725000 [02:09<08:32, 4250.93it/s]
loss=0.0051 (0.0709): :  20% 545000/2725000 [02:10<08:32, 4250.93it/s]
loss=0.0051 (0.0709): :  20% 550000/2725000 [02:10<08:39, 4185.46it/s]
loss=0.0048 (0.0703): :  20% 550000/2725000 [02:12<08:39, 4185.46it/s]
loss=0.0048 (0.0703): :  20% 555000/2725000 [02:12<08:34, 4218.34it/s]
loss=0.0044 (0.0697): :  20% 555000/2725000 [02:13<08:34, 4218.34it/s]
loss=0.0044 (0.0697): :  21% 560000/2725000 [02:13<08:31, 4232.44it/s]
loss=0.0044 (0.0691): :  21% 560000/2725000 [02:14<08:31, 4232.44it/s]
loss=0.0044 (0.0691): :  21% 565000/2725000 [02:14<08:37, 4176.59it/s]
loss=0.0053 (0.0686): :  21% 565000/2725000 [02:15<08:37, 4176.59it/s]
loss=0.0053 (0.0686): :  21% 570000/2725000 [02:15<08:29, 4229.55it/s]
loss=0.0048 (0.0680): :  21% 570000/2725000 [02:16<08:29, 4229.55it/s]
loss=0.0048 (0.0680): :  21% 575000/2725000 [02:16<08:24, 4260.74it/s]
loss=0.0047 (0.0675): :  21% 575000/2725000 [02:17<08:24, 4260.74it/s]
loss=0.0047 (0.0675): :  21% 580000/2725000 [02:17<08:28, 4214.98it/s]
loss=0.0046 (0.0669): :  21% 580000/2725000 [02:19<08:28, 4214.98it/s]
loss=0.0046 (0.0669): :  21% 585000/2725000 [02:19<08:24, 4245.92it/s]
loss=0.0048 (0.0664): :  21% 585000/2725000 [02:20<08:24, 4245.92it/s]
loss=0.0048 (0.0664): :  22% 590000/2725000 [02:20<08:20, 4265.56it/s]
loss=0.0044 (0.0659): :  22% 590000/2725000 [02:21<08:20, 4265.56it/s]
loss=0.0044 (0.0659): :  22% 595000/2725000 [02:21<08:16, 4291.40it/s]
loss=0.0048 (0.0654): :  22% 595000/2725000 [02:22<08:16, 4291.40it/s]
loss=0.0048 (0.0654): :  22% 600000/2725000 [02:22<08:21, 4238.18it/s]
loss=0.0052 (0.0649): :  22% 600000/2725000 [02:23<08:21, 4238.18it/s]
loss=0.0052 (0.0649): :  22% 605000/2725000 [02:23<08:15, 4282.09it/s]
loss=0.0046 (0.0644): :  22% 605000/2725000 [02:24<08:15, 4282.09it/s]
loss=0.0046 (0.0644): :  22% 610000/2725000 [02:24<08:10, 4313.18it/s]
loss=0.0045 (0.0639): :  22% 610000/2725000 [02:26<08:10, 4313.18it/s]
loss=0.0045 (0.0639): :  23% 615000/2725000 [02:26<08:18, 4230.58it/s]
loss=0.0049 (0.0634): :  23% 615000/2725000 [02:27<08:18, 4230.58it/s]
loss=0.0049 (0.0634): :  23% 620000/2725000 [02:27<08:14, 4254.32it/s]
loss=0.0044 (0.0630): :  23% 620000/2725000 [02:28<08:14, 4254.32it/s]
loss=0.0044 (0.0630): :  23% 625000/2725000 [02:28<08:11, 4272.00it/s]
loss=0.0048 (0.0625): :  23% 625000/2725000 [02:29<08:11, 4272.00it/s]
loss=0.0048 (0.0625): :  23% 630000/2725000 [02:29<08:18, 4202.72it/s]
loss=0.0045 (0.0620): :  23% 630000/2725000 [02:30<08:18, 4202.72it/s]
loss=0.0045 (0.0620): :  23% 635000/2725000 [02:30<08:17, 4204.30it/s]
loss=0.0043 (0.0616): :  23% 635000/2725000 [02:32<08:17, 4204.30it/s]
loss=0.0043 (0.0616): :  23% 640000/2725000 [02:32<08:10, 4249.64it/s]
loss=0.0045 (0.0611): :  23% 640000/2725000 [02:33<08:10, 4249.64it/s]
loss=0.0045 (0.0611): :  24% 645000/2725000 [02:33<08:16, 4190.17it/s]
loss=0.0041 (0.0607): :  24% 645000/2725000 [02:34<08:16, 4190.17it/s]
loss=0.0041 (0.0607): :  24% 650000/2725000 [02:34<08:10, 4230.93it/s]
loss=0.0041 (0.0603): :  24% 650000/2725000 [02:35<08:10, 4230.93it/s]
loss=0.0041 (0.0603): :  24% 655000/2725000 [02:35<08:04, 4275.51it/s]
loss=0.0040 (0.0598): :  24% 655000/2725000 [02:36<08:04, 4275.51it/s]
loss=0.0040 (0.0598): :  24% 660000/2725000 [02:36<08:09, 4219.27it/s]
loss=0.0042 (0.0594): :  24% 660000/2725000 [02:37<08:09, 4219.27it/s]
loss=0.0042 (0.0594): :  24% 665000/2725000 [02:37<08:03, 4257.69it/s]
loss=0.0043 (0.0590): :  24% 665000/2725000 [02:39<08:03, 4257.69it/s]
loss=0.0043 (0.0590): :  25% 670000/2725000 [02:39<07:59, 4287.64it/s]
loss=0.0036 (0.0586): :  25% 670000/2725000 [02:40<07:59, 4287.64it/s]
loss=0.0036 (0.0586): :  25% 675000/2725000 [02:40<07:55, 4309.21it/s]
loss=0.0043 (0.0582): :  25% 675000/2725000 [02:41<07:55, 4309.21it/s]
loss=0.0043 (0.0582): :  25% 680000/2725000 [02:41<08:02, 4235.46it/s]
loss=0.0043 (0.0578): :  25% 680000/2725000 [02:42<08:02, 4235.46it/s]
loss=0.0043 (0.0578): :  25% 685000/2725000 [02:42<07:57, 4269.26it/s]
loss=0.0040 (0.0574): :  25% 685000/2725000 [02:43<07:57, 4269.26it/s]
loss=0.0040 (0.0574): :  25% 690000/2725000 [02:43<07:54, 4289.17it/s]
loss=0.0042 (0.0570): :  25% 690000/2725000 [02:44<07:54, 4289.17it/s]
loss=0.0042 (0.0570): :  26% 695000/2725000 [02:45<08:00, 4227.91it/s]
loss=0.0042 (0.0567): :  26% 695000/2725000 [02:46<08:00, 4227.91it/s]
loss=0.0042 (0.0567): :  26% 700000/2725000 [02:46<07:56, 4247.91it/s]
loss=0.0039 (0.0563): :  26% 700000/2725000 [02:47<07:56, 4247.91it/s]
loss=0.0039 (0.0563): :  26% 705000/2725000 [02:47<07:55, 4249.92it/s]
loss=0.0041 (0.0559): :  26% 705000/2725000 [02:48<07:55, 4249.92it/s]
loss=0.0041 (0.0559): :  26% 710000/2725000 [02:48<08:01, 4182.62it/s]
loss=0.0040 (0.0556): :  26% 710000/2725000 [02:49<08:01, 4182.62it/s]
loss=0.0040 (0.0556): :  26% 715000/2725000 [02:49<07:56, 4217.57it/s]
loss=0.0042 (0.0552): :  26% 715000/2725000 [02:50<07:56, 4217.57it/s]
loss=0.0042 (0.0552): :  26% 720000/2725000 [02:50<07:53, 4237.63it/s]
